Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
34600,15372,2,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,390.3200625,195.1600312,7686.0,10596.70222,15179,193,15372,15372.0,0.0,15372,15372,0,0.0,0.0,0,0,0,0,0,0,64,20,130.1066875,65.05334374,0,6,1.5,3.0,9.0,0,0,0,0,1,0,0,0,0,2.0,0.0,6.0,64,0,0,0,0,0,0,2,0,1,6,235,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,82507120,7,6,419,11595,413,0,59.85714286,155.7374164,4344,0,1932.5,1754.831473,145.6116757,0.157562159,6875593.333,23800000.0,82400000,2,82400000,13700000.0,33600000.0,82400000,2,141384,28276.8,56625.04294,129151,16,0,0,0,0,220,200,0.084841163,0.072720997,0,4344,858.1428571,1458.803032,2128106.286,0,0,0,0,1,0,0,0,0,924.1538462,59.85714286,1932.5,220,0,0,0,0,0,0,7,419,6,11595,251,235,2,20,991.0,0.0,991,991,82400000.0,0.0,82400000,82400000,DoS Hulk
80,187,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,64171.12299,10695.18717,187.0,0.0,187,187,187,187.0,0.0,187,187,0,0.0,0.0,0,0,0,0,0,0,40,0,10695.18717,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,142523,3,6,307,11595,307,0,102.3333333,177.2465326,4344,0,1932.5,1754.831473,83509.32832,63.14770248,17815.375,45558.8892,130178,10,11995,5997.5,7092.988122,11013,982,142513,28502.6,57073.29573,130178,48,0,0,0,0,104,200,21.04923416,42.09846832,0,4344,1190.2,1623.884013,2636999.289,0,0,0,1,0,0,0,0,2,1322.444444,102.3333333,1932.5,104,0,0,0,0,0,0,3,307,6,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
80,1,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,64,0,2000000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
53,31639,2,2,60,92,30,30,30.0,0.0,46,46,46.0,0.0,4804.197351,126.4262461,10546.33333,18222.63176,31588,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,63.21312304,63.21312304,30,46,36.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,45.5,30.0,46.0,64,0,0,0,0,0,0,2,60,2,92,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,1916273,1,1,50,284,50,50,50.0,0.0,284,284,284.0,0.0,174.2966686,1.043692626,1916273.0,0.0,1916273,1916273,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,0.521846313,0.521846313,50,284,128.0,135.099963,18252.0,0,0,0,0,0,0,0,0,1,192.0,50.0,284.0,20,0,0,0,0,0,0,1,50,1,284,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,84664000,8,5,317,11595,311,0,39.625,109.6721576,10147,0,2319.0,4420.67608,140.6973448,0.153548143,7055333.333,24400000.0,84400000,1,84400000,12100000.0,31900000.0,84400000,1,225806,56451.5,111966.2556,224399,4,0,0,0,0,252,168,0.094491165,0.059056978,0,10147,850.8571429,2703.554067,7309204.593,0,0,0,0,1,0,0,0,0,916.3076923,39.625,2319.0,252,0,0,0,0,0,0,8,317,5,11595,251,235,2,20,1007.0,0.0,1007,1007,84400000.0,0.0,84400000,84400000,DoS Hulk
53,62537,2,2,82,188,41,41,41.0,0.0,94,94,94.0,0.0,4317.444073,63.96213442,20845.66667,36102.2897,62533,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,80,31.98106721,31.98106721,41,94,62.2,29.02929555,842.7,0,0,0,0,0,0,0,0,1,77.75,41.0,94.0,64,0,0,0,0,0,0,2,82,2,188,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,82807357,5,7,370,11595,358,0,74.0,158.7891684,4344,0,1656.428571,1947.638216,144.4919924,0.14491466,7527941.545,24900000.0,82600000,10,82700000,20700000.0,41300000.0,82600000,10,82800000,13800000.0,33700000.0,82700000,67,0,0,0,0,144,232,0.060381108,0.084533552,0,4344,920.8461538,1609.111548,2589239.974,1,0,0,0,0,0,0,0,1,997.5833333,74.0,1656.428571,144,0,0,0,0,0,0,5,370,7,11595,0,235,2,20,12004.0,0.0,12004,12004,82600000.0,0.0,82600000,82600000,DoS Hulk
53,181,2,2,68,282,34,34,34.0,0.0,141,141,141.0,0.0,1933701.657,22099.44751,60.33333333,97.57219549,173,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,80,80,11049.72376,11049.72376,34,141,76.8,58.60631365,3434.7,0,0,0,0,0,0,0,0,1,96.0,34.0,141.0,80,0,0,0,0,0,0,2,68,2,282,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,272,2,2,76,484,38,38,38.0,0.0,242,242,242.0,0.0,2058823.529,14705.88235,90.66666667,116.0402229,222,2,2,2.0,0.0,2,2,48,48.0,0.0,48,48,0,0,0,0,40,40,7352.941176,7352.941176,38,242,119.6,111.7354017,12484.8,0,0,0,0,0,0,0,0,1,149.5,38.0,242.0,40,0,0,0,0,0,0,2,76,2,484,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,111949370,13,13,2745,1013,2745,0,211.1538462,761.3260193,1013,0,77.92307692,280.9556494,33.5687463,0.232247846,4477974.8,5067845.583,10200000,60,112000000,9322667.667,2865532.58,10200000,273969,112000000,9322682.417,2890172.529,10300000,196353,0,0,0,0,416,416,0.116123923,0.116123923,0,2745,139.1851852,556.0207548,309159.0798,0,0,0,0,1,0,0,0,1,144.5384615,211.1538462,77.92307692,416,0,0,0,0,0,0,13,2745,13,1013,354,1482,1,32,95161.0,59303.98082,273969,77181,10100000.0,319822.3016,10200000,9113734,BENIGN
18072,14609,3,1,43,6,31,6,14.33333333,14.43375673,6,6,6.0,0.0,3354.09679,273.8038196,4869.666667,8417.192485,14589,3,14592,7296.0,10313.85951,14589,3,0,0.0,0.0,0,0,0,0,0,0,60,20,205.3528647,68.45095489,6,31,11.0,11.18033989,125.0,0,0,0,0,1,0,0,0,0,13.75,14.33333333,6.0,60,0,0,0,0,0,0,3,43,1,6,983,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,182,2,2,60,264,30,30,30.0,0.0,132,132,132.0,0.0,1780219.78,21978.02198,60.66666667,99.01683359,175,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,40,40,10989.01099,10989.01099,30,132,70.8,55.86770087,3121.2,0,0,0,0,0,0,0,0,1,88.5,30.0,132.0,40,0,0,0,0,0,0,2,60,2,264,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,116145841,21,20,2849,1151,591,0,135.6666667,238.5752153,213,2,57.55,92.08490076,34.43945961,0.353004461,2903646.025,4358060.013,10000000,69,116000000,5804756.2,4649830.942,10100000,160,116000000,6110275.684,4634857.316,10100000,1619,0,0,0,0,432,404,0.180807163,0.172197298,0,591,95.23809524,182.8819171,33445.79559,0,0,0,1,0,0,0,0,0,97.56097561,135.6666667,57.55,432,0,0,0,0,0,0,21,2849,20,1151,8192,34688,20,20,915241.4545,1876241.117,5000309,50482,9638860.727,1224029.891,10000000,5950894,BENIGN
22,1343132,37,40,2664,6954,456,0,72.0,113.5409862,976,0,173.85,323.9984607,7160.874732,57.32869145,17672.78947,115381.4383,999763,0,1343132,37309.22222,168625.72,999828,2,343238,8800.974359,24170.11098,124883,0,0,0,0,0,1200,1296,27.54755303,29.78113841,0,976,123.3076923,248.9695286,61985.82617,0,0,0,1,0,0,0,0,1,124.9090909,72.0,173.85,1200,0,0,0,0,0,0,37,2664,40,6954,29200,243,24,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,151,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,1059602.649,26490.06623,50.33333333,81.98373822,145,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,13245.03311,13245.03311,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,40,0,0,0,0,0,0,2,64,2,96,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,60745,2,2,66,98,33,33,33.0,0.0,49,49,49.0,0.0,2699.810684,65.84904107,20248.33333,35065.94595,60739,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,80,64,32.92452054,32.92452054,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33.0,49.0,80,0,0,0,0,0,0,2,66,2,98,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,188,2,2,140,396,70,70,70.0,0.0,198,198,198.0,0.0,2851063.83,21276.59574,62.66666667,103.3456982,182,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,10638.29787,10638.29787,70,198,121.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,151.5,70.0,198.0,64,0,0,0,0,0,0,2,140,2,396,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,98579675,5,7,367,11595,355,0,73.4,157.4477691,5792,0,1656.428571,2120.732252,121.3434717,0.121728947,8961788.636,29700000.0,98400000,7,98400000,24600000.0,49200000.0,98400000,7,98600000,16400000.0,40200000.0,98400000,14,0,0,0,0,144,232,0.050720394,0.071008552,0,5792,920.6153846,1715.11732,2941627.423,1,0,0,0,0,0,0,0,1,997.3333333,73.4,1656.428571,144,0,0,0,0,0,0,5,367,7,11595,0,235,2,20,12987.0,0.0,12987,12987,98400000.0,0.0,98400000,98400000,DoS Hulk
22,151,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,13245.03311,151.0,0.0,151,151,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,6622.516556,6622.516556,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,290,243,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,99895638,6,7,364,11595,346,0,60.66666667,139.815116,5792,0,1656.428571,2120.732252,119.7149369,0.130135812,8324636.5,28800000.0,99700000,1,99800000,20000000.0,44600000.0,99700000,1,99900000,16600000.0,40700000.0,99700000,46,0,0,0,0,164,232,0.060062683,0.07007313,0,5792,854.6428571,1666.072748,2775798.401,1,0,0,0,0,0,0,0,1,920.3846154,60.66666667,1656.428571,164,0,0,0,0,0,0,6,364,7,11595,0,235,3,20,13017.0,0.0,13017,13017,99700000.0,0.0,99700000,99700000,DoS Hulk
443,110013,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,18.17966968,110013.0,0.0,110013,110013,110013,110013.0,0.0,110013,110013,0,0.0,0.0,0,0,0,0,0,0,64,0,18.17966968,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,306,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
38026,34,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,58823.52941,34.0,0.0,34,34,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,29411.76471,29411.76471,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,116,343,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,117318649,20,16,1395,2244,433,0,69.75,156.5653975,746,0,140.25,300.5398476,31.01808648,0.306856585,3351961.4,4632756.566,10000000,91,117000000,6174665.737,4750515.81,10000000,189,113000000,7504612.733,4354359.993,10000000,20951,0,0,0,0,412,464,0.170475881,0.136380704,0,746,98.35135135,228.2010829,52075.73423,0,0,0,1,0,0,0,0,0,101.0833333,69.75,140.25,412,0,0,0,0,0,0,20,1395,16,2244,8192,360,19,20,240537.0,676990.458,2281740,36228,9993002.273,15696.22966,10000000,9946439,BENIGN
53,23151884,2,2,89,137,47,42,44.5,3.535533906,79,58,68.5,14.8492424,9.761624583,0.172772117,7717294.667,13300000.0,23100000,381,23100000,23100000.0,0.0,23100000,23100000,23200000,23200000.0,0.0,23200000,23200000,0,0,0,0,40,40,0.086386058,0.086386058,42,79,53.6,15.63009917,244.3,0,0,0,0,0,0,0,0,1,67.0,44.5,68.5,40,0,0,0,0,0,0,2,89,2,137,-1,-1,1,20,381.0,0.0,381,381,23100000.0,0.0,23100000,23100000,BENIGN
53,53991,2,2,74,202,37,37,37.0,0.0,101,101,101.0,0.0,5111.963105,74.08642181,17997.0,31165.65621,53984,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,37.04321091,37.04321091,37,101,62.6,35.05424368,1228.8,0,0,0,0,0,0,0,0,1,78.25,37.0,101.0,64,0,0,0,0,0,0,2,74,2,202,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,22324,2,2,58,122,29,29,29.0,0.0,61,61,61.0,0.0,8063.071134,179.1793585,7441.333333,12804.76295,22227,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,64,64,89.58967927,89.58967927,29,61,41.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,52.25,29.0,61.0,64,0,0,0,0,0,0,2,58,2,122,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
52582,23,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,86956.52174,23.0,0.0,23,23,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,43478.26087,43478.26087,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,122,259,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,120020,2,2,90,398,45,45,45.0,0.0,199,199,199.0,0.0,4065.989002,33.3277787,40006.66667,69290.11521,120016,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,40,64,16.66388935,16.66388935,45,199,106.6,84.34927386,7114.8,0,0,0,0,0,0,0,0,1,133.25,45.0,199.0,40,0,0,0,0,0,0,2,90,2,398,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
58613,56,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,214285.7143,35714.28571,56.0,0.0,56,56,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,17857.14286,17857.14286,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,31,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,117751,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,16.98499376,117751.0,0.0,117751,117751,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,8.492496879,8.492496879,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1444,48,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,98888715,5,7,324,11595,312,0,64.8,138.2215613,4344,0,1656.428571,1760.597234,120.5294254,0.121348528,8989883.182,29800000.0,98900000,4,98900000,24700000.0,49400000.0,98900000,4,98900000,16500000.0,40400000.0,98900000,46,0,0,0,0,144,232,0.050561887,0.070786641,0,4344,917.3076923,1498.973615,2246921.897,1,0,0,0,0,0,0,0,1,993.75,64.8,1656.428571,144,0,0,0,0,0,0,5,324,7,11595,0,235,2,20,8023.0,0.0,8023,8023,98900000.0,0.0,98900000,98900000,DoS Hulk
80,63128331,7,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.110885238,10500000.0,11900000.0,32100000,996761,63100000,10500000.0,11900000.0,32100000,996761,0,0.0,0.0,0,0,0,0,0,0,280,0,0.110885238,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,280,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7008722.0,0.0,7008722,7008722,18700000.0,12200000.0,32100000,8023932,DoS Slowhttptest
80,85667317,8,6,658,11595,329,0,82.25,152.2974064,4344,0,1932.5,1977.812908,143.0300426,0.163422884,6589793.615,23600000.0,85300000,1,85500000,12200000.0,32200000.0,85300000,1,415619,83123.8,119533.1106,259932,56,0,0,0,0,264,200,0.093384505,0.070038379,0,4344,816.8666667,1515.950238,2298105.124,0,0,0,0,1,0,0,0,0,875.2142857,82.25,1932.5,264,0,0,0,0,0,0,8,658,6,11595,274,235,2,32,982.0,0.0,982,982,85300000.0,0.0,85300000,85300000,DoS Hulk
53,23767,2,2,84,246,42,42,42.0,0.0,123,123,123.0,0.0,13884.79825,168.3005848,7922.333333,13715.82168,23760,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,64,84.15029242,84.15029242,42,123,74.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,93.0,42.0,123.0,40,0,0,0,0,0,0,2,84,2,246,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,1989,6,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3016.591252,397.8,542.4842855,1003,1,1989,397.8,542.4842855,1003,1,0,0.0,0.0,0,0,0,0,0,0,192,0,3016.591252,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,192,0,0,0,0,0,0,6,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
443,9504659,14,17,1327,18506,349,0,94.78571429,134.4522669,2920,0,1088.588235,832.2928465,2086.660868,3.261558358,316821.9667,832283.5283,4001193,4,5503462,423343.2308,630349.4508,1829974,476,9484828,592801.75,1125175.35,4001244,4,0,0,0,0,292,352,1.472961839,1.788596519,0,2920,619.78125,788.9859042,622498.7571,0,0,0,1,0,0,0,0,1,639.7741935,94.78571429,1088.588235,292,0,0,0,0,0,0,14,1327,17,18506,8192,33,13,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,180,2,2,70,262,35,35,35.0,0.0,131,131,131.0,0.0,1844444.444,22222.22222,60.0,98.72689603,174,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,11111.11111,11111.11111,35,131,73.4,52.58136552,2764.8,0,0,0,0,0,0,0,0,1,91.75,35.0,131.0,40,0,0,0,0,0,0,2,70,2,262,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,3,2,0,27,0,27,0,13.5,19.09188309,0,0,0.0,0.0,9000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,27,18.0,15.58845727,243.0,0,1,0,0,1,0,0,0,0,27.0,13.5,0.0,64,0,0,0,0,0,0,2,27,0,0,40544,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,98101745,7,6,340,11595,340,0,48.57142857,128.5079208,5792,0,1932.5,2181.008184,121.6594058,0.132515482,8175145.417,28300000.0,98100000,1,98100000,16400000.0,40000000.0,98100000,1,9504,1900.8,3998.180424,9052,45,0,0,0,0,232,200,0.07135449,0.061160992,0,5792,852.5,1667.156342,2779410.269,0,0,0,0,1,0,0,0,0,918.0769231,48.57142857,1932.5,232,0,0,0,0,0,0,7,340,6,11595,251,235,1,32,5.0,0.0,5,5,98100000.0,0.0,98100000,98100000,DoS Hulk
80,116266247,17,15,774,1172,365,0,45.52941176,112.9475086,583,0,78.13333333,204.9811373,16.73744574,0.275230351,3750524.097,4802795.508,10000000,110,116000000,7265175.75,4383770.432,10000000,20959,116000000,8303040.929,3662413.077,10000000,10600,0,0,0,0,352,444,0.146216124,0.129014227,0,583,58.96969697,158.5493781,25137.9053,0,0,0,1,0,0,0,0,0,60.8125,45.52941176,78.13333333,352,0,0,0,0,0,0,17,774,15,1172,8192,980,16,20,60602.75,87348.69746,271912,23356,9626298.25,1205890.898,10000000,5801275,BENIGN
80,218,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,9174.311927,218.0,0.0,218,218,218,218.0,0.0,218,218,0,0.0,0.0,0,0,0,0,0,0,64,0,9174.311927,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,242,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23855,1,1,45,61,45,45,45.0,0.0,61,61,61.0,0.0,4443.51289,83.83986586,23855.0,0.0,23855,23855,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,41.91993293,41.91993293,45,61,50.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,75.5,45.0,61.0,20,0,0,0,0,0,0,1,45,1,61,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
443,6104017,5,1,123,46,46,0,24.6,23.27659769,46,46,46.0,0.0,27.68668567,0.982959255,1220803.4,2692531.145,6037255,15,6104017,1526004.25,3007543.106,6037255,15,0,0.0,0.0,0,0,1,0,0,0,160,32,0.819132712,0.163826542,0,46,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,0,35.83333333,24.6,46.0,160,0,0,0,0,0,0,5,123,1,46,405,365,2,32,37046.0,0.0,37046,37046,6037255.0,0.0,6037255,6037255,BENIGN
80,83612207,8,6,343,11595,337,0,42.875,118.8629914,5792,0,1932.5,2179.547086,142.7781951,0.167439666,6431708.231,23200000.0,83500000,2,83500000,11900000.0,31600000.0,83500000,2,76360,15272.0,27813.29156,64187,47,0,0,0,0,252,200,0.095679809,0.071759857,0,5792,795.8666667,1620.670358,2626572.41,0,0,0,0,1,0,0,0,0,852.7142857,42.875,1932.5,252,0,0,0,0,0,0,8,343,6,11595,274,235,2,20,1998.0,0.0,1998,1998,83500000.0,0.0,83500000,83500000,DoS Hulk
443,115928179,24,18,1181,6187,395,0,49.20833333,117.9447104,2021,0,343.7222222,648.3903876,63.55659222,0.362293278,2827516.561,4464742.139,10000000,3,116000000,5040355.609,4980612.674,10000000,3,111000000,6547147.235,4881476.137,10000000,50,0,0,0,0,776,584,0.20702473,0.155268548,0,2021,171.3488372,446.9246705,199741.6611,0,0,0,1,0,0,0,0,0,175.4285714,49.20833333,343.7222222,776,0,0,0,0,0,0,24,1181,18,6187,29200,1039,5,32,102070.4545,260728.2688,888192,23011,10000000.0,19757.7343,10000000,9960007,BENIGN
80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk
